device_id,gender_id
B-52-10507,1
B-52-41857,2
B-52-35416,2
B-52-37145,2
B-52-11362,2
B-52-29792,1
B-52-30837,2
B-52-15523,2
B-52-6023,2
B-52-28348,2
B-52-35967,1
B-52-49324,2
B-52-45106,2
B-52-16454,1
B-52-7562,1
B-52-323,2
B-52-35625,1
B-52-15029,1
B-52-12388,1
B-52-50787,2
B-52-4883,2
B-52-7277,2
B-52-20083,1
B-52-22515,2
B-52-1691,1
B-52-35815,2
B-52-41439,2
B-52-34390,1
B-52-32984,1
B-52-28177,2
B-52-44726,2
B-52-25593,
B-52-31046,2
B-52-29298,1
B-52-12293,1
B-52-3629,1
B-52-37183,2
B-52-34523,1
B-52-10754,2
B-52-43130,1
B-52-11742,1
B-52-45752,2
B-52-15428,2
B-52-31217,1
B-52-9709,1
B-52-11495,2
B-52-34542,1
B-52-9918,2
B-52-4427,2
B-52-44422,2
B-52-7999,1
B-52-12920,2
B-52-40926,1
B-52-23066,2
B-52-39121,2
B-52-13452,1
B-52-25935,2
B-52-27227,
B-52-50084,1
B-52-47918,1
B-52-51053,2
B-52-24700,1
B-52-44764,2
B-52-16226,2
B-52-45163,1
B-52-52630,2
B-52-34485,1
B-52-50255,2
B-52-5814,2
B-52-11685,2
B-52-36233,2
B-52-27740,2
B-52-13338,1
B-52-5548,1
B-52-22990,2
B-52-43871,2
B-52-42028,2
B-52-31939,2
B-52-28253,1
B-52-17708,2
B-52-40299,2
B-52-6517,2
B-52-7315,2
B-52-42275,1
B-52-44612,
B-52-40242,2
B-52-15219,2
B-52-44061,1
B-52-37354,2
B-52-12160,1
B-52-11419,2
B-52-38874,2
B-52-7942,2
B-52-32471,2
B-52-46740,2
B-52-5472,2
B-52-38589,2
B-52-1729,2
B-52-31350,2
B-52-44574,2
B-52-49343,2
B-52-30894,2
B-52-25080,1
B-52-33649,2
B-52-52383,2
B-52-33877,1
B-52-38,1
B-52-20444,1
B-52-10678,
B-52-34922,2
B-52-37525,2
B-52-32908,2
B-52-25878,1
B-52-43415,2
B-52-11818,2
B-52-46151,
B-52-34998,2
B-52-19703,2
B-52-30191,2
B-52-22534,1
B-52-39254,2
B-52-25194,
B-52-46284,1
B-52-13243,1
B-52-33003,2
B-52-29868,2
B-52-31730,2
B-52-25802,2
B-52-6270,2
B-52-15409,1
B-52-28633,1
B-52-8683,1
B-52-29260,2
B-52-18791,2
B-52-37753,2
B-52-47006,2
B-52-3211,2
B-52-50198,1
B-52-8094,1
B-52-44403,
B-52-8816,1
B-52-34257,2
B-52-7885,2
B-52-50141,1
B-52-45315,2
B-52-36309,1
B-52-35055,2
B-52-33136,2
B-52-20539,2
B-52-209,1
B-52-21793,1
B-52-24928,1
B-52-4864,2
B-52-33459,1
B-52-35891,2
B-52-41895,
B-52-16739,2
B-52-18620,2
B-52-703,1
B-52-24434,2
B-52-17119,2
B-52-27094,2
B-52-25403,1
B-52-41591,2
B-52-37392,1
B-52-24985,2
B-52-19931,1
B-52-17518,2
B-52-26961,2
B-52-23370,2
B-52-49172,2
B-52-35378,2
B-52-17746,1
B-52-2584,1
B-52-25289,2
B-52-18677,2
B-52-19836,1
B-52-41629,2
B-52-3971,1
B-52-38684,2
B-52-35245,2
B-52-44213,2
B-52-18848,2
B-52-32262,1
B-52-1064,1
B-52-51300,1
B-52-52098,2
B-52-24225,1
B-52-4674,
B-52-684,1
B-52-20121,1
B-52-22363,1
B-52-33668,2
B-52-44327,1
B-52-22895,2
B-52-874,2
B-52-42807,2
B-52-31844,2
B-52-2470,2
B-52-32680,2
B-52-45543,2
B-52-10241,2
B-52-3439,2
B-52-4028,2
B-52-11020,2
B-52-399,2
B-52-26087,2
B-52-22705,1
B-52-34200,2
B-52-38228,2
B-52-38570,1
B-52-21907,1
B-52-51490,2
B-52-47823,2
B-52-37240,1
B-52-46360,2
B-52-48944,1
B-52-5586,2
B-52-76,2
B-52-49989,2
B-52-26866,2
B-52-36043,1
B-52-16853,1
B-52-48545,2
B-52-1330,1
B-52-29564,2
B-52-39520,2
B-52-16093,2
B-52-760,2
B-52-11552,2
B-52-25099,1
B-52-32338,1
B-52-12369,2
B-52-28804,2
B-52-20577,1
B-52-49685,1
B-52-48716,1
B-52-3230,2
B-52-20653,2
B-52-22439,2
B-52-33554,2
B-52-25213,2
B-52-38000,2
B-52-1083,1
B-52-19361,2
B-52-21508,2
B-52-48469,2
B-52-26353,1
B-52-49837,1
B-52-14421,2
B-52-3990,1
B-52-20216,2
B-52-12046,2
B-52-28557,2
B-52-18734,2
B-52-2451,2
B-52-7676,2
B-52-33820,2
B-52-49286,2
B-52-47139,1
B-52-16815,2
B-52-36670,1
B-52-39919,1
B-52-30362,2
B-52-40736,1
B-52-45524,1
B-52-13091,2
B-52-42883,2
B-52-28424,2
B-52-9405,2
B-52-44460,2
B-52-43662,2
B-52-44992,2
B-52-50027,1
B-52-6954,1
